深圳市联创杰科技有限公司	电子元器件（IC）外贸销售助理
深圳市帝欧贸易有限公司	陶瓷外贸/业务员/外贸/贸易专员
深圳卡尔士贸易有限公司	亚马逊运营/外贸
深圳市瑞思祥科技有限公司	外贸业务员
深圳市传盛科技有限公司	外贸业务员 速卖通销售 跨境电商销售 晋升快
深圳市易普乐化工有限公司	外贸业务员（英语）
粤和兴激光刀模（深圳）有限公司	外贸专员（英语）
深圳市帆叶风科技有限公司	提供住宿 外贸销售代表  跨境电商专员 B2C外贸业务员
深圳市天祥纸业有限公司	外贸跟单员
深圳市达伯文科技有限公司	外贸网站推广运营专员
深圳华创兆业科技股份有限公司	外贸助理
深圳市米高电子科技有限公司	带薪培训  外贸销售   亚马逊运营
深圳市辉宏科技有限公司	外贸业务员五险一金5.5天5K+
深圳市欣天雅包装有限公司	外贸助理
深圳市威孚恒创科技有限公司	诚聘高级外贸跟单员（高薪+周末双休）
深圳市巨拓科技有限公司	Amazon销售/亚马逊销售/外贸业务员
深圳伊西威威网络科技股份有限公司...	外贸主管
深圳市明润达贸易有限公司	外贸助理（速卖通ebay）高底薪欢迎优秀毕业生
深圳市青长物产商贸有限公司	外贸业务助理---泰语
深圳市鑫冠森科技有限公司	跨境电商 运营 外贸销售
深圳市利辉快速成型技术有限公司	外贸业务员 高提成新兴产业
深圳市百炼五金有限公司	外贸业务员 可接受应届毕业生
深圳市艾普生物科技有限公司	外贸业务员
深圳瑞万昌实业有限公司	外贸业务员(喜欢挑战)
深圳市依波特科技有限公司	外贸销售
深圳市英特飞电子有限公司	外贸业务员（应届毕业生亦可）
深圳市联泽科技有限公司	外贸业务员/外贸销售/外贸专员
深圳市高飞贸易有限公司	速卖通客服/外贸客服/英文客服（五和地铁口）
深圳市瑞鼎电子有限公司	外贸业务员
深圳市广宇视通科技有限公司	外贸业务员  急聘  (可接受应届毕业生)
深圳市同兴包装有限公司	外贸业务员
深圳市优宜得电子商务有限公司	高薪诚聘 年轻团队 跨境电商运营 外贸运营 外贸助理
深圳斯罗克电子有限公司	外贸专员 跨境电商运营+提供住宿
深圳市高森家居用品有限公司	五险一金聘请高级外贸跟单员
深圳嘉程世纪贸易有限公司	外贸销售助理
阳盟科技股份有限公司	外贸助理- 英语口语流利
深圳市方德建材有限公司	外贸销售
深圳市维盛泰光电有限公司	外贸业务员
深圳市华冠光电科技有限公司	外贸/贸易专员/助理
深圳常瑞实业有限公司	外贸助理/外贸专员
香港星权有限公司深圳代表处	外贸采购跟单
深圳市协同国际物流有限公司	外贸业务/专员（双休）
稳健医疗用品股份有限公司	高级外贸业务员（外销员）
深圳市诚丰浩电子有限公司	外贸跟单员(提供住宿）
深圳市美高蓝电子仪器有限公司	外贸跟单员
深圳文华纺织品时装有限公司	外贸跟单（高薪聘请）
深圳市石开科技有限公司	业务员 外贸业务员
深圳市恒之电子商务有限公司	外贸业务员(英语)
中国恒跃实业有限公司	外贸业务员 （双休+发展空间大+提成）
深圳市盛邦科技有限公司	Amazon亚马逊销售/外贸销售/亚马逊业务/B2C
深圳市华万达电子有限公司	外贸业务员、外贸专员(可接受应届毕业生)
深圳市键特电子有限公司	外贸区域经理
深圳市清山泉环保科技有限公司	外贸跟单员
深圳市记忆时候科技有限公司	B2B外贸业务员
深圳市多奇想电子有限公司	外贸/亚马逊助理/高提成
深圳市火速国际物流有限公司	外贸业务（住宿+津贴）
深圳建准电机有限公司	外贸业务员（包吃住+高提成+五险一金）
深圳市浩骏包装制品有限公司	外贸业务员（包吃住+高薪+高提成）
深圳科赢思贸易有限公司	外贸跟单员
深圳福德源智能科技有限公司	外贸跟单助理
深圳兴豪皮具有限公司	外贸专员+双休+包公寓住宿包吃
深圳市星益电子商务有限公司	B2C外贸运营 电子商务专员 接受转行 提供住宿
深圳市鑫联众达电子有限公司	外贸业务员
深圳市双向诚科技有限公司	外贸业务
深圳市易顺科技有限公司	外贸主管
深圳科腾智能显示技术有限公司	外贸业务员
深圳市荣拓电子商务有限公司	外贸销售
深圳市进和瑞电子有限公司	外贸业务员
深圳市新贸国际货运代理有限公司	外贸文员
深圳市杨翔文化传媒有限公司	外贸主管
深圳市艾泽瑞光电有限公司	急招外贸采购员
深圳市新良田科技股份有限公司	外贸运营专员
深圳市利得尔展示用品有限公司	外贸业务员
深圳市真华电子科技有限公司	Amazon 亚马逊 外贸 销售 专员
深圳市嘉音美电子有限公司	外贸业务员
瑞丰手袋（深圳）有限公司	外贸业务员
深圳市博恩医疗器材有限公司	外贸业务经理/外贸业务员
深圳长荣家居用品有限公司	外贸业务员
深圳大霞创意文化有限公司	高薪诚聘 外贸业务员/外贸销售员（出国参展+高提成）
深圳市金沃琪科技有限公司	外贸销售助理
深圳市思普泰克科技有限公司	外贸跟单员
